Type;Cote;Disponibilité;Fond;Titre;Auteur;Date;Édition;Tome;Thème général;Thème particulier;Résumé;Recollage
Livre;305 8 Pay;Empruntable;Autre;PAYS & GENS DES CHARENTES ET DU POITOU;Collectif;1983;1;;Sciences Sociales;Groupes raciaux, ethniques, nationaux;"Collection « Pays et gens de France »
Images de la vie quotidienne dans les départements  :
- La Charente : la ferme, les cagouillards, le papier à cuve, les fûts de chêne, Cognac...
- La Charente maritime  : Marennes, les îles de Ré, d'Oléron, d’Aix, le charron, la forêt...
- Les Deux-Sèvres : le bocage, le marais, la Sèvre niortaise et la Sèvre nantaise, l'angélique, l’âne du Poitou... 
- La Vienne : les plaines, les propriétés, les chasses aux cerfs, les noyers, les pierres de taille…";
Livre;944 1 ROB;Empruntable;Autre;DESCRIPTION HISTORIQUE TOPOGRAPHIQUE ET NATURELLE DE L’ANCIENNE ARMORIQUE;ROBIEN Christophe-Paul Sire de;1974;1;;Géographie et Histoire;Histoire Bretagne;"Première édition mise au point par J.Y Veillard, conservateur du Musée de Bretagne à Rennes, du manuscrit de Christophe-Paul Sire de Robien, ouvrage de 1756 enrichi de multiples dessins, croquis, cartes et plans.
La première partie, « description historique et topographique de l'ancienne Armorique » est l'histoire de la province de la préhistoire à la fin de la période gallo-romaine. La deuxième partie, « Description historique et topographique de la petite Bretagne » est consacrée, du Ve siècle jusqu'à la moitié du XVIIIe siècle, aux neuf diocèses de la province  : Rennes, Nantes, Vannes, Quimper, Léon, Tréguier, Saint-Brieuc, Saint-Malo, Dol. La dernière partie « Description historique et naturelle » concerne la géographie de la Bretagne (culture, faune, flore, hydrographie...) et l'économie (mines, forges, ports et pêche…).";
Livre;602 75 Fou;Sur Place;Autre;FOURNITURES GÉNÉRALES D’ÉBÉNISTERIE ET DE TAPISSERIE GENTHON & DANSARD;Collectif;1907;1;;Technologie et Sciences appliquées;Marques de fabrique;"Catalogue de vente par correspondance Genton et Dansart - Lyon : fournitures générales de quincaillerie et serrurerie, sculptures, moulures, tournages, placages, bois des îles, marbres glaces…
Album de 529 pages illustrées dont une page dépliante d'échantillons de coutils.";
Livre;FL 944 18 DUV;Empruntable;Local;DU VILLAGE À LA VILLE - DOULON de la Révolution à la fin du XIXe siècle;Collectif;1985;1;;Géographie et Histoire;Histoire Maine et Loire;Petit bourg de campagne à la veille de la Révolution, Doulon a connu d'énormes bouleversements en particulier à l'ère industrielle avec le développement du quartier de Toutes-Aides. Alors que dans le « vieux bourg » la population reste en grande partie rurale, aux portes de Nantes, le nouveau faubourg voit l'arrivée du premier tramway nantais. Les ouvriers, dont de nombreux cheminots, deviennent majoritaires, les cigarières travaillent à la Manufacture des Tabacs. Ces changements démographiques et géographiques vont amener le rattachement de Doulon à la ville de Nantes en 1908. Le présent livre décrit cette évolution. Avec maints documents, cartes, graphismes, il présente les deux Doulon bien différents avec pour fil conducteur l'état civil.;
Livre;B/944 034 KLE;Empruntable;Autre;LE GÉNÉRAL J-B KLÉBER;MAZE Hippolyte;1899;1;;Autobiographie ou Biographie;Autobiographie ou Biographie Louis XV, 1715-1774;Biographie du général Jean-Baptiste Kléber (1750-1800) - La jeunesse - La révolution, Kléber à Mayence - En Vendée, relation avec Marceau - L'armée de Sambre-et-Meuse - L'armée du Rhin, siège de Mayence - En Allemagne - Le soldat-citoyen - Kléber et Bonaparte - En Egypte.;
Livre;340 5 Bul;Empruntable;Autre;BULLETIN DES LOIS DU ROYAUME DE FRANCE;Collectif;1844;1;;Sciences Sociales;Systèmes de droit;"Tome 28e - N°1067 à 1105 - Règne de Louis-Philippe 1er, roi des français.
Premier semestre de 1844, contenant les lois, les ordonnances d'intérêt public et général et les décisions royales rendues depuis le 1 janvier 1844, jusqu'au 30 juin 1844, ainsi que les actes des gouvernements antérieurs non publiés au bulletin des lois.";
Livre;FL 305 8 Ven;Empruntable;Local;Vendée 2000;Collectif;1970;1;;Sciences Sociales;Groupes raciaux, ethniques, nationaux;"Publication de la société d'émulation de la Vendée.
Les villes du Bas-Poitou au XVIIIe siècle - Les communications terrestres au XIXe siècle - La propriété foncière dans les bocages vendéens - Influence des villes sur les campagnes - Les rapports de la Vendée avec la métropole - La Roche-sur-Yon, ses quartiers, la vie scolaire, les contradictions de la croissance.";O
Livre;FL 305 8 Ven;Empruntable;Local;Vendée 2000;Collectif;1968;1;;Sciences Sociales;Groupes raciaux, ethniques, nationaux;"Publication de la société d'émulation de la Vendée.
La réserve, le milieu physique et biologique, l’avifaune de la pointe d'Arçay - Les gisements préhistoriques de Saint-Vincent-sur-Jard, fouilles du tumulus - Les évêchés du Bas-Poitou - Les industries du nord-est de la Vendée - Hydronymes vendéens - Vagabonds dans les parlers bas-poitevins, des balladins aux vésigadiers - L’île d’Yeu.";O
Livre;FL 910 014 LEQ;Empruntable;Local;DICTIONNAIRE des NOMS de LIEUX de la VENDÉE;LE QUELLEC Jean-Loïc;1995;1;;Géographie et Histoire;Géographie et voyages / Noms de lieu;Répertoire de toutes les communes de Vendée, des principaux villages et cours d'eau ainsi que ceux des fermes, écarts et autres lieux-dits. Tous ces noms de lieux sont accompagnés de leur forme poitevine, du nom des habitants, des formes anciennes, de l'étymologie et des traditions locales.;
Livre;FL 630 DIB;Empruntable;Local;MUTATION AGRICOLE DE LA GÂTINE POITEVINE AU COURS DU DIX-NEUVIÈME SIÈCLE;DIBOT Jacques;1966;1;;Technologie et Sciences appliquées;Agriculture et techniques connexes;"Thèse pour le doctorat présentée et soutenue par Jacques Dibot. 
Après la présentation de la géographie et de l'histoire de la gâtine en Deux-Sèvres, l’étude débute par un exposé de la routine agricole au début du XIXe siècle (végétation, jachères, droits collectifs, mode de vie des du paysan,…). L'auteur poursuit par l’exposé des idées nouvelles introduites en Gâtine (Jacques Bujault, l'abbé Picard, le Dr Guillemeau, Alix Sauzeau,…). La dernière partie de l'ouvrage confirme la mise en application de ces idées nouvelles (facilités de communication, outillages, chaulage, prairies artificielles,…) et la nécessaire évolution des structures juridiques concernant la propriété agricole et les baux.";
